rowId,START,DATE_CREATED
203,0,2025-08-02 11:44:54.8316593
204,1,2025-08-04 07:39:37.4874928
205,0,2025-08-04 17:55:29.5501836
206,1,2025-08-05 07:57:52.1021883
207,1,2025-08-05 08:24:51.4320127
208,0,2025-08-05 08:16:25.209
209,0,2025-08-05 17:08:24.7065878
210,1,2025-08-06 07:41:18.0508493
211,0,2025-08-06 07:49:09.2699662
212,1,2025-08-06 07:51:17.3473669
213,0,2025-08-06 14:54:46.84838
214,1,2025-08-07 07:48:26.6722194
215,0,2025-08-07 17:02:48.0081142
216,1,2025-08-08 08:01:02.4761622
217,0,2025-08-08 08:17:24.5179309
218,1,2025-08-08 08:20:12.1108969
219,0,2025-08-08 11:43:44.0859485
220,1,2025-08-18 08:13:20.1415946
221,0,2025-08-18 16:45:36.8388793
222,1,2025-08-20 08:33:41.056531
223,0,2025-08-20 16:26:41.151035
224,1,2025-08-21 08:20:39.7259475
225,0,2025-08-21 16:53:27.9263683
226,1,2025-08-22 10:19:03.8649607
227,0,2025-08-22 16:58:29.2298742
228,1,2025-08-27 09:44:16.2809312
229,0,2025-08-27 16:55:07.1161362
230,1,2025-08-28 10:41:39.5338902
231,0,2025-08-28 11:32:11.4700707
232,1,2025-08-29 16:50:45.4786456
233,0,2025-08-30 08:39:28.3792467
234,1,2025-09-01 08:01:53.4941614
235,0,2025-09-01 12:13:33.3878995
236,1,2025-09-02 08:06:56.1054885
237,0,2025-09-02 17:02:43.4954548
238,1,2025-09-05 07:57:15.0454169
239,0,2025-09-05 10:11:18.9058314
240,1,2025-09-06 09:15:13.8533797
241,0,2025-09-06 11:23:58.1798729
242,1,2025-09-08 09:08:21.6747838
